MLinkID,USNode,DSNode,LinkReach,ReachElement
4878,AAT728,AAT734,3.2.2.1.2.1.1.2.2.3.1.1,4
48356,AAQ434,AAT736,3.2.2.1.2.1.1.2.2.3.1.2.2.2.1,1
48196,AAQ434,AAT736,3.2.2.1.2.1.1.2.2.3.1.2.2.2.2,1
4894,AAT729,AAT737,3.2.2.1.2.1.1.2.2.3.2.1.3.3.1.2,5
4883,AAT732,AAT738,3.2.2.1.2.1.1.2.2.1,5
4877,AAT734,AAT739,3.2.2.1.2.1.1.2.2.3.1.1,3
4910,AAT800,AAT742,3.2.2.1.2.2.1,1
4905,AAT808,AAT742,3.2.2.1.2.2.2,1
4888,AAT731,AAT744,3.2.2.1.2.1.1.2.1,4
4882,AAT738,AAT745,3.2.2.1.2.1.1.2.2.1,4
4876,AAT739,AAT746,3.2.2.1.2.1.1.2.2.3.1.1,2
48269,AAT821,AAT747,3.2.2.1.2.1.1.2.2.3.1.2.1.1,1
4874,AAT740,AAT747,3.2.2.1.2.1.1.2.2.3.1.2.1.2,1
4870,AAT816,AAT748,3.2.2.1.2.1.1.2.2.3.1.2.2.1,2
4868,AAT736,AAT749,3.2.2.1.2.1.1.2.2.3.1.2.2.2,3
4893,AAT737,AAT750,3.2.2.1.2.1.1.2.2.3.2.1.3.3.1.2,4
4904,AAT742,AAT751,3.2.2.1.2.2,4
4887,AAT744,AAT753,3.2.2.1.2.1.1.2.1,3
4881,AAT745,AAT754,3.2.2.1.2.1.1.2.2.1,3
4875,AAT746,AAT755,3.2.2.1.2.1.1.2.2.3.1.1,1
4864,AAT756,AAT755,3.2.2.1.2.1.1.2.2.3.1.2,1
4873,AAT747,AAT756,3.2.2.1.2.1.1.2.2.3.1.2.1,1
4865,AAT757,AAT756,3.2.2.1.2.1.1.2.2.3.1.2.2,1
4869,AAT748,AAT757,3.2.2.1.2.1.1.2.2.3.1.2.2.1,1
4866,AAT758,AAT757,3.2.2.1.2.1.1.2.2.3.1.2.2.2,1
4867,AAT749,AAT758,3.2.2.1.2.1.1.2.2.3.1.2.2.2,2
4892,AAT750,AAT759,3.2.2.1.2.1.1.2.2.3.2.1.3.3.1.2,3
48270,AAT820,AAT761,3.2.2.1.2.1.1.2.2.3.2.1.3.1,3
