MLinkID,USNode,DSNode,LinkReach,ReachElement
16407,ABR767,ABR799,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.1.1.2,2
59099,ABR723,ABR801,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.2.1.1,2
59106,ABR772,ABR802,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.1.2.2,3
16403,ABR757,ABR805,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.1.1.1.1.2.1.2,2
16405,ABR768,ABR807,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.1.1.1.1.2,2
16549,ABR849,ABR848,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.2.2.1.2.2.2.2.2.2.2,2
16550,ABR850,ABR849,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.2.2.1.2.2.2.2.2.2.2,3
16623,ABR851,ABR850,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.2.2.1.2.2.2.2.2.2.2,4
16624,ABR841,ABR851,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.2.2.1.2.2.2.2.2.2.1,3
16637,ABR904,ABR853,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.2.2.1.2.1.2.2.2.2.2,2
58325,ABR863,ABR861,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.2.2.1.2.2.2.2.2.2.1,1
16548,ABR848,ABR861,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.2.2.1.2.2.2.2.2.2.2,1
16572,ABR851,ABR863,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.2.2.1.2.2.2.2.2.2.1,2
16557,ABR866,ABR865,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.2.2.1.2.2.2.2.2.1,1
16547,ABR861,ABR865,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.2.2.1.2.2.2.2.2.2,1
16558,ABR867,ABR866,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.2.2.1.2.2.2.2.2.1,2
16559,ABR868,ABR867,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.2.2.1.2.2.2.2.2.1,3
16560,ABR870,ABR868,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.2.2.1.2.2.2.2.2.1,4
16561,ABR917,ABR870,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.2.2.1.2.2.2.2.2.1,5
16601,ABR876,ABR875,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.1.1.2,3
16627,ABR877,ABR876,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.1.1.2,4
16554,ABR881,ABR880,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.2.2.1.2.2.2.2.1,1
16546,ABR865,ABR880,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.2.2.1.2.2.2.2.2,1
16555,ABR882,ABR881,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.2.2.1.2.2.2.2.1.1,1
16630,ABR873,ABR881,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.2.2.1.2.2.2.2.1.2,1
16556,ABR883,ABR882,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.2.2.1.2.2.2.2.1.1.1,1
16629,ABR874,ABR882,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.2.2.1.2.2.2.2.1.1.2,1
16628,ABR885,ABR883,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.2.2.1.2.2.2.2.1.1.1,2
16570,ABR887,ABR884,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.2.2.1.2.1.2.2.2.2.1.1.1.1.1,1
16646,ABR871,ABR884,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.2.2.1.2.1.2.2.2.2.1.1.1.1.2,1
16569,ABR884,ABR886,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.2.2.1.2.1.2.2.2.2.1.1.1.1,2
16643,ABR923,ABR887,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.2.2.1.2.1.2.2.2.2.1.1.1.1.1,2
16641,ABR889,ABR890,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.2.2.1.2.1.2.2.2.2.1.1.1.2.2.2,2
16642,ABR925,ABR891,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.2.2.1.2.1.2.2.2.2.1.1.1.2.2.1,1
16640,ABR890,ABR891,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.2.2.1.2.1.2.2.2.2.1.1.1.2.2.2,1
16632,ABR878,ABR892,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.1.2.1.1,5
16631,ABR892,ABR893,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.1.2.1.1,4
16634,ABR879,ABR894,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.1.2.1.2,5
16633,ABR894,ABR895,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.1.2.1.2,4
16552,ABR897,ABR896,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.2.2.1.2.2.2.1,1
16545,ABR880,ABR896,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.2.2.1.2.2.2.2,1
16553,ABR898,ABR897,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.2.2.1.2.2.2.1,2
16635,ABR899,ABR898,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.2.2.1.2.2.2.1,3
16568,ABR886,ABR900,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.2.2.1.2.1.2.2.2.2.1.1.1.1,1
